unique_id,ds,y,IR_A,IY_A,IB_A,VRY_kV,VYB_kV,VBR_kV,avg_current,current_imbalance_pct,avg_voltage,voltage_imbalance_pct,tod_sin,tod_cos,hour,minute,day_of_week,is_weekend
EP_FD03,2026-06-22 00:39:00,0.4055,22.87,21.41,21.44,11.13,10.983,11.08,21.906666666666666,4.397443700547785,11.064333333333332,0.7350947488928222,0.1693495038490246,0.9855560590580777,0.0,39.0,0.0,0.0
EP_FD03,2026-06-22 00:42:00,0.4389,23.11,21.77,21.8,11.105,10.946,11.027,22.226666666666663,3.974205158968221,11.026000000000002,0.725557772537655,0.18223552549214744,0.9832549075639546,0.0,42.0,0.0,0.0
EP_FD03,2026-06-22 00:45:00,0.4634,24.09,21.29,22.91,11.103,10.945,10.994,22.763333333333332,6.472397129887242,11.014000000000001,0.8080624659524117,0.19509032201612825,0.9807852804032304,0.0,45.0,0.0,0.0
EP_FD03,2026-06-22 00:48:00,0.3359,23.29,21.2,21.57,11.093,11.004,11.02,22.02,5.767484105358763,11.039000000000001,0.4891747440891248,0.20791169081775931,0.9781476007338057,0.0,48.0,0.0,0.0
EP_FD03,2026-06-22 00:51:00,0.453,22.86,21.29,25.23,11.079,10.988,11.037,23.126666666666665,9.09484001153071,11.034666666666666,0.4229096181730322,0.22069743502150108,0.9753423205085127,0.0,51.0,0.0,0.0
EP_FD03,2026-06-22 00:54:00,0.5275,29.64,27.83,30.66,11.123,11.105,11.056,29.376666666666665,5.264949506410985,11.094666666666667,0.3485158033890254,0.2334453638559054,0.9723699203976766,0.0,54.0,0.0,0.0
EP_FD03,2026-06-22 00:57:00,0.5574,30.42,27.87,30.72,11.117,10.96,10.976,29.67,6.066734074823056,11.017666666666669,0.9015823072035714,0.24615329302899303,0.9692309097067544,0.0,57.0,0.0,0.0
EP_FD03,2026-06-22 01:00:00,0.3734,22.46,20.64,22.79,11.073,11.082,10.975,21.963333333333335,6.025193504325395,11.043333333333335,0.6187745246000765,0.25881904510252074,0.9659258262890683,1.0,0.0,0.0,0.0
EP_FD03,2026-06-22 01:03:00,0.2827,21.92,20.43,22.73,11.129,11.059,11.049,21.69333333333333,5.823601720958814,11.078999999999999,0.4513042693383944,0.27144044986507426,0.9624552364536473,1.0,3.0,0.0,0.0
EP_FD03,2026-06-22 01:06:00,0.3432,19.82,18.36,19.58,11.11,11.04,11.096,19.253333333333334,4.639889196675906,11.081999999999999,0.3789929615592837,0.28401534470392265,0.958819734868193,1.0,6.0,0.0,0.0
EP_FD03,2026-06-22 01:09:00,0.2988,16.11,14.76,16.26,11.184,11.13,11.101,15.709999999999999,6.0471037555696965,11.138333333333334,0.4099955109980455,0.29654157497557093,0.9550199444571866,1.0,9.0,0.0,0.0
EP_FD03,2026-06-22 01:12:00,0.4155,16.26,15.58,15.84,11.189,11.101,11.122,15.893333333333336,2.3070469798657633,11.137333333333332,0.4639051837663203,0.3090169943749474,0.9510565162951535,1.0,12.0,0.0,0.0
EP_FD03,2026-06-22 01:15:00,0.4125,15.9,15.94,15.85,11.195,11.128,11.101,15.896666666666667,0.2935625917383111,11.141333333333334,0.4816898037338427,0.3214394653031616,0.9469301294951057,1.0,15.0,0.0,0.0
EP_FD03,2026-06-22 01:18:00,0.25,19.81,18.4,23.23,11.155,11.082,11.14,20.48,13.427734375,11.125666666666667,0.39248584354495675,0.33380685923377096,0.9426414910921784,1.0,18.0,0.0,0.0
EP_FD03,2026-06-22 01:21:00,0.2189,12.61,12.78,13.23,11.2,11.074,11.145,12.873333333333335,2.7705851890212236,11.139666666666665,0.5894850234896186,0.34611705707749296,0.9381913359224842,1.0,21.0,0.0,0.0
EP_FD03,2026-06-22 01:24:00,0.2497,12.82,12.69,12.91,11.211,11.077,11.177,12.806666666666667,0.910983862571581,11.155000000000001,0.6992380098610593,0.3583679495453002,0.9335804264972017,1.0,24.0,0.0,0.0
EP_FD03,2026-06-22 01:27:00,0.2424,17.39,17.03,17.61,11.121,11.119,11.071,17.343333333333334,1.8066500096098361,11.103666666666667,0.2941971120650912,0.3705574375098362,0.9288095528719242,1.0,27.0,0.0,0.0
