unique_id,ds,y,IR_A,IY_A,IB_A,VRY_kV,VYB_kV,VBR_kV,avg_current,current_imbalance_pct,avg_voltage,voltage_imbalance_pct,tod_sin,tod_cos,hour,minute,day_of_week,is_weekend
ML_FD05,2026-07-11 14:06:00,0.0,8.14,7.9,7.59,10.973,11.076,10.975,7.876666666666666,3.639441388066012,11.008000000000001,0.6177325581395313,-0.5224985647159487,-0.8526401643540923,14.0,6.0,5.0,1.0
ML_FD05,2026-07-11 14:09:00,0.0,8.09,7.71,7.81,11.019,11.015,10.986,7.87,2.7954256670902127,11.006666666666666,0.18776499091458462,-0.5336145159156115,-0.8457278217039733,14.0,9.0,5.0,1.0
ML_FD05,2026-07-11 14:12:00,0.0,7.91,7.84,7.77,11.09,10.996,10.905,7.84,0.8928571428571465,10.997,0.8456851868691458,-0.5446390350150271,-0.838670567945424,14.0,12.0,5.0,1.0
ML_FD05,2026-07-11 14:15:00,0.0,7.93,8.06,7.78,11.009,10.999,11.032,7.923333333333333,1.8090029448885063,11.013333333333335,0.16949152542371013,-0.555570233019602,-0.8314696123025455,14.0,15.0,5.0,1.0
ML_FD05,2026-07-11 14:18:00,0.0,8.07,7.89,7.62,10.878,10.914,10.891,7.86,3.053435114503819,10.894333333333334,0.18052198390599852,-0.5664062369248326,-0.8241261886220158,14.0,18.0,5.0,1.0
ML_FD05,2026-07-11 14:21:00,0.0231,7.98,7.94,7.7,10.802,10.822,10.786,7.873333333333334,2.2015241320914534,10.803333333333333,0.17278617710582894,-0.5771451900372334,-0.816641555161679,14.0,21.0,5.0,1.0
ML_FD05,2026-07-11 14:24:00,0.0,8.11,7.97,7.8,10.806,10.757,10.793,7.96,2.010050251256283,10.785333333333332,0.2627024354060987,-0.587785252292473,-0.8090169943749476,14.0,24.0,5.0,1.0
ML_FD05,2026-07-11 14:27:00,0.0,7.84,7.76,7.79,10.799,10.816,10.798,7.796666666666667,0.5557930739632279,10.804333333333334,0.10798136550149674,-0.5983246005706586,-0.801253812691061,14.0,27.0,5.0,1.0
ML_FD05,2026-07-11 14:30:00,0.0,7.92,7.94,7.74,10.817,10.762,10.802,7.866666666666667,1.610169491525427,10.793666666666667,0.29338192149717074,-0.6087614290087203,-0.7933533402912354,14.0,30.0,5.0,1.0
ML_FD05,2026-07-11 14:33:00,0.0,7.81,7.72,7.73,10.649,10.767,10.672,7.753333333333333,0.7308684436801373,10.695999999999998,0.6637995512341204,-0.6190939493098341,-0.7853169308807448,14.0,33.0,5.0,1.0
ML_FD05,2026-07-11 14:36:00,0.0,7.94,7.84,7.77,10.794,10.894,10.848,7.8500000000000005,1.1464968152866224,10.845333333333334,0.47332185886403266,-0.6293203910498372,-0.777145961456971,14.0,36.0,5.0,1.0
ML_FD05,2026-07-11 14:39:00,0.0,8.15,7.79,7.75,10.782,10.942,10.783,7.896666666666667,3.2081046855213122,10.835666666666667,0.9813270987787271,-0.6394390019805849,-0.7688418320734594,14.0,39.0,5.0,1.0
ML_FD05,2026-07-11 14:42:00,0.0,8.06,7.94,7.8,10.804,10.81,10.855,7.933333333333334,1.6806722689075682,10.823,0.295666635868059,-0.6494480483301832,-0.7604059656000314,14.0,42.0,5.0,1.0
ML_FD05,2026-07-11 14:45:00,0.0,7.81,8.02,7.64,10.83,10.86,10.703,7.823333333333333,2.5138474648487388,10.797666666666666,0.8767326274195064,-0.6593458151000688,-0.7518398074789775,14.0,45.0,5.0,1.0
